OBJECTID,Type,Name,NHLE link,Longitude,Latitude
175,Parks & Gardens,BUSHY PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000281,-0.335705399,51.41397349
176,Parks & Gardens,HAM HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000282,-0.312354802,51.44160607
177,Parks & Gardens,BATTERSEA PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000283,-0.157476032,51.47894919
178,Parks & Gardens,"MONUMENT GROUNDS, SHEFFIELD",https://historicengland.org.uk/listing/the-list/list-entry/1000284,-1.458381006,53.37599018
179,Parks & Gardens,WANDSWORTH PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000285,-0.204151382,51.46241673
180,Parks & Gardens,CITY OF LONDON CEMETERY,https://historicengland.org.uk/listing/the-list/list-entry/1000286,0.050728028,51.55891806
181,Parks & Gardens,OSTERLEY PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000287,-0.353337661,51.49272586
182,Parks & Gardens,FOOTS CRAY PLACE,https://historicengland.org.uk/listing/the-list/list-entry/1000288,0.125613257,51.42472461
183,Parks & Gardens,Lamorbey Park,https://historicengland.org.uk/listing/the-list/list-entry/1000289,0.109255932,51.43904912
184,Parks & Gardens,GODMERSHAM PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000290,0.944079855,51.22326115
185,Parks & Gardens,WALMER CASTLE,https://historicengland.org.uk/listing/the-list/list-entry/1000291,1.399425928,51.2007805
186,Parks & Gardens,RAINTHORPE HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000292,1.245696989,52.52917688
187,Parks & Gardens,BELMONT PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000293,0.84414292,51.27175773
188,Parks & Gardens,RIVERHILL HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000294,0.208918465,51.24560461
189,Parks & Gardens,OLANTIGH TOWERS,https://historicengland.org.uk/listing/the-list/list-entry/1000295,0.947795493,51.19488895
190,Parks & Gardens,"THE GRANGE, NORTHINGTON",https://historicengland.org.uk/listing/the-list/list-entry/1000296,-1.201899203,51.12295371
191,Parks & Gardens,DOGMERSFIELD PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000297,-0.899280977,51.26018379
192,Parks & Gardens,HALE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000298,-1.739877258,50.96594606
193,Parks & Gardens,ALBURY PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000299,-0.477805329,51.21818837
194,Parks & Gardens,POLESDEN LACEY,https://historicengland.org.uk/listing/the-list/list-entry/1000300,-0.368346556,51.25876306
195,Parks & Gardens,BUSBRIDGE LAKES,https://historicengland.org.uk/listing/the-list/list-entry/1000301,-0.608473795,51.17042815
196,Parks & Gardens,VANN,https://historicengland.org.uk/listing/the-list/list-entry/1000302,-0.596111739,51.12812326
197,Parks & Gardens,GREAT FOSTERS,https://historicengland.org.uk/listing/the-list/list-entry/1000303,-0.543096095,51.41855122
198,Parks & Gardens,HOLLYCOMBE HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000304,-0.788638098,51.0565641
199,Parks & Gardens,KIDBROOKE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000305,0.023897947,51.08889032
200,Parks & Gardens,HAMMERWOOD PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000306,0.056035332,51.12800783
201,Parks & Gardens,GLYNDE PLACE,https://historicengland.org.uk/listing/the-list/list-entry/1000307,0.069908176,50.86722264
202,Parks & Gardens,BUXTED PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000308,0.115568055,50.98600971
203,Parks & Gardens,BATTLE ABBEY,https://historicengland.org.uk/listing/the-list/list-entry/1000309,0.484672512,50.91157184
204,Parks & Gardens,MAGDALEN HILL CEMETERY,https://historicengland.org.uk/listing/the-list/list-entry/1000310,-1.270109228,51.06065127
205,Parks & Gardens,BLAKE HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000311,0.227613617,51.7233635
206,Parks & Gardens,AUDLEY END,https://historicengland.org.uk/listing/the-list/list-entry/1000312,0.21795289,52.01850889
207,Parks & Gardens,GOSFIELD HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000313,0.577850231,51.93620635
208,Parks & Gardens,THORNDON HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000314,0.33685952,51.59685072
209,Parks & Gardens,HILL HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000315,0.151679318,51.67569713
210,Parks & Gardens,STANSTEAD BURY,https://historicengland.org.uk/listing/the-list/list-entry/1000316,0.032659879,51.78232746
211,Parks & Gardens,WOODHALL PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000317,-0.089742575,51.84998706
212,Parks & Gardens,HUGHENDEN MANOR,https://historicengland.org.uk/listing/the-list/list-entry/1000318,-0.760516039,51.65314117
213,Parks & Gardens,MENTMORE TOWERS,https://historicengland.org.uk/listing/the-list/list-entry/1000319,-0.687433508,51.86338939
214,Parks & Gardens,INTWOOD HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000320,1.237935913,52.58979052
215,Parks & Gardens,PAMPISFORD HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000321,0.201987526,52.11357736
216,Parks & Gardens,FONTHILL,https://historicengland.org.uk/listing/the-list/list-entry/1000322,-2.107090056,51.07566589
217,Parks & Gardens,CLIVEDEN,https://historicengland.org.uk/listing/the-list/list-entry/1000323,-0.688948047,51.55181734
218,Parks & Gardens,CLAREMONT,https://historicengland.org.uk/listing/the-list/list-entry/1000324,-0.373702928,51.3578995
219,Parks & Gardens,FRANKS HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000325,0.235464812,51.38541303
