OBJECTID,Type,Name,Longitude,Latitude
35935,Ancient Woodland,KEYHOW COPPICE,-3.339451089,54.39279761
35936,Ancient Woodland,KEYHOW COPPICE,-3.338816889,54.39507857
35937,Ancient Woodland,KEYHOW COPPICE,-3.34206773,54.39321794
35938,Ancient Woodland,KEYMER ALLOTMENT SHAW,-0.141478135,50.92014521
35939,Ancient Woodland,KEYMER JUNCTION SHAW,-0.122024524,50.96299284
35940,Ancient Woodland,KEYSFORD BRIDGE COPSE,-0.044629003,51.03169964
35941,Ancient Woodland,KEYSFORD WOOD,-0.050801877,51.02938359
35942,Ancient Woodland,KEYSFORD WOOD,-0.048922098,51.02965799
35943,Ancient Woodland,KEYSOEPARK WOOD,-0.456260783,52.24789698
35944,Ancient Woodland,KEYSOEPARK WOOD,-0.458173571,52.24638449
35945,Ancient Woodland,KEYSOEPARK WOOD,-0.455612435,52.24885055
35946,Ancient Woodland,KIBSWORTHY WOOD,-3.841019292,51.21792397
35947,Ancient Woodland,KICKER WOOD,0.606734725,50.9542851
35948,Ancient Woodland,Kidbrooke Wood,0.021501932,51.08732198
35949,Ancient Woodland,Kidbrooke Wood,0.024949226,51.08582339
35950,Ancient Woodland,KIDDOW SPRING WOOD,-1.518762705,53.74197809
35951,Ancient Woodland,KIDNEY/BULLS WOODS,-0.405727169,51.86223822
35952,Ancient Woodland,KIDNEY/BULLS WOODS,-0.413730901,51.86136631
35953,Ancient Woodland,KIDNEY/BULLS WOODS,-0.410650673,51.85934655
35954,Ancient Woodland,KIDSNAPE WOOD,-2.641628367,53.84791343
35955,Ancient Woodland,KIDSTONES BECK WOOD,-2.060338087,54.23707875
35956,Ancient Woodland,KILBURN THICKET,-1.19639496,54.20226826
35957,Ancient Woodland,KILDERBEES GROVE,1.379657878,52.22186405
35958,Ancient Woodland,KILLHAM WOOD,-4.533432492,50.47038668
35959,Ancient Woodland,KILLHAM WOOD,-4.529865324,50.47326168
35960,Ancient Woodland,KILLHAM WOOD,-4.530928678,50.4712687
35961,Ancient Woodland,KILLHAM WOOD,-4.531714568,50.47542515
35962,Ancient Woodland,KILLICLEAVE WOOD,-4.101644799,51.19950222
35963,Ancient Woodland,KILLICLEAVE WOOD,-4.100986516,51.20076411
35964,Ancient Woodland,KILLIGAN WOOD,0.53913547,50.94299439
35965,Ancient Woodland,KILLIGAN WOOD,0.535884375,50.94472898
35966,Ancient Woodland,KILLING GROVE WOOD,0.369793821,51.24121594
35967,Ancient Woodland,KILLING GROVE WOOD,0.370557025,51.24129041
35968,Ancient Woodland,KILLING WOOD,1.168079708,51.10998979
35969,Ancient Woodland,KILLON CLEAVE,-3.356093012,50.97850329
35970,Ancient Woodland,Kilmeston Hattock,-1.178264577,51.01658175
35971,Ancient Woodland,KILMINORTH WOODS,-4.475949076,50.36062076
35972,Ancient Woodland,KILMINORTH WOODS,-4.47241687,50.35542501
35973,Ancient Woodland,KILMINORTH WOODS,-4.491546144,50.36498273
35974,Ancient Woodland,KILMINORTH WOODS,-4.502475547,50.36557545
35975,Ancient Woodland,KILN BARN SHAW,-0.119752819,50.98363183
35976,Ancient Woodland,kiln copse,-0.53307078,51.03115427
35977,Ancient Woodland,kiln copse,-0.276829554,51.11661517
35978,Ancient Woodland,Kiln Copse,-0.998230269,51.69130314
35979,Ancient Woodland,KILN COPSE,-1.123773532,51.44524427
35980,Ancient Woodland,KILN COPSE,-1.527940963,51.38048949
35981,Ancient Woodland,KILN COPSE,-1.527207651,51.3819342
35982,Ancient Woodland,KILN COPSE/PACKERS COPSE,-1.334863175,51.42542896
35983,Ancient Woodland,Kiln Field,-2.943126653,52.00591023
35984,Ancient Woodland,Kiln Field,-2.942091952,52.00450693
35985,Ancient Woodland,Kiln Field,-2.940709352,52.00457193
35986,Ancient Woodland,"kiln field row, warren lane coppice",-0.741237409,51.02022767
35987,Ancient Woodland,"kiln field row, warren lane coppice",-0.743677196,51.0217467
35988,Ancient Woodland,Kiln Field Shaw,0.28761285,51.26263699
35989,Ancient Woodland,Kiln Field Shaw/River Field Shaw,0.336874393,50.97400227
35990,Ancient Woodland,Kiln Field Wood,0.766198462,51.25240938
35991,Ancient Woodland,Kiln Field Wood,0.764848287,51.25236035
35992,Ancient Woodland,Kiln Ground,-0.662133769,51.99353352
35993,Ancient Woodland,WHITNEY WOOD,-3.081195976,52.12258636
35994,Ancient Woodland,KILN GROUND WOOD,-3.069687797,52.12632367
35995,Ancient Woodland,KILN GROUND WOOD,-3.067003537,52.13075352
35996,Ancient Woodland,KILN GROUND WOOD,-3.082037043,52.12474545
35997,Ancient Woodland,KILN GROUND WOOD,-3.063837426,52.1278601
35998,Ancient Woodland,KILN GROUND WOOD,-3.069907967,52.13002591
35999,Ancient Woodland,Kiln Ground.,-0.664382136,51.99433229
36000,Ancient Woodland,Kiln Ground.,-0.663514941,51.99410666
36001,Ancient Woodland,KILN GROVE,0.773773972,52.22758903
